driver,driver_number,lap,lap_time,sector1,sector2,sector3,tyre,tyre_life,fresh_tyre,stint,position,pit_in,pit_out,speed_i1,speed_i2,speed_fl,speed_st,is_personal_best
VER,1,1.0,91.677,,38.489,32.363,MEDIUM,1.0,True,1.0,1.0,,,284.0,293.0,213.0,307.0,False
VER,1,2.0,89.117,18.085,38.383,32.649,MEDIUM,2.0,True,1.0,1.0,,,283.0,294.0,211.0,303.0,True
VER,1,3.0,89.555,18.197,38.495,32.863,MEDIUM,3.0,True,1.0,1.0,,,281.0,294.0,212.0,304.0,False
VER,1,4.0,89.563,18.253,38.441,32.869,MEDIUM,4.0,True,1.0,1.0,,,281.0,296.0,211.0,306.0,False
VER,1,5.0,89.695,18.142,38.529,33.024,MEDIUM,5.0,True,1.0,1.0,,,283.0,295.0,211.0,305.0,False
VER,1,6.0,89.772,18.25,38.579,32.943,MEDIUM,6.0,True,1.0,1.0,,,283.0,296.0,211.0,306.0,False
VER,1,7.0,89.744,18.187,38.496,33.061,MEDIUM,7.0,True,1.0,1.0,,,283.0,298.0,211.0,308.0,False
VER,1,8.0,89.601,18.136,38.42,33.045,MEDIUM,8.0,True,1.0,1.0,,,284.0,297.0,211.0,306.0,False
VER,1,9.0,89.413,18.146,38.494,32.773,MEDIUM,9.0,True,1.0,1.0,,,283.0,297.0,210.0,306.0,False
VER,1,10.0,89.465,18.12,38.396,32.949,MEDIUM,10.0,True,1.0,1.0,,,284.0,295.0,209.0,307.0,False
VER,1,11.0,89.538,18.143,38.496,32.899,MEDIUM,11.0,True,1.0,1.0,,,284.0,297.0,210.0,306.0,False
VER,1,12.0,89.543,18.12,38.567,32.856,MEDIUM,12.0,True,1.0,1.0,,,284.0,296.0,211.0,306.0,False
VER,1,13.0,89.633,18.044,38.531,33.058,MEDIUM,13.0,True,1.0,1.0,,,285.0,295.0,210.0,307.0,False
VER,1,14.0,89.526,17.984,38.599,32.943,MEDIUM,14.0,True,1.0,1.0,,,286.0,297.0,211.0,305.0,False
VER,1,15.0,89.703,17.993,38.622,33.088,MEDIUM,15.0,True,1.0,1.0,,,285.0,295.0,211.0,302.0,False
