driver,driver_number,lap,lap_time,sector1,sector2,sector3,tyre,tyre_life,fresh_tyre,stint,position,pit_in,pit_out,speed_i1,speed_i2,speed_fl,speed_st,is_personal_best
VER,1,1.0,87.02,,38.394,21.759,HARD,1.0,True,1.0,4.0,,,170.0,178.0,253.0,258.0,False
VER,1,2.0,106.318,34.949,45.145,26.224,HARD,2.0,True,1.0,4.0,,,83.0,167.0,229.0,254.0,True
VER,1,3.0,108.815,32.11,47.43,29.275,HARD,3.0,True,1.0,4.0,,,159.0,100.0,226.0,257.0,False
VER,1,4.0,100.29,31.006,47.889,21.395,HARD,4.0,True,1.0,4.0,,,136.0,170.0,262.0,253.0,True
VER,1,5.0,80.8,21.744,37.485,21.571,HARD,5.0,True,1.0,4.0,,,177.0,173.0,254.0,262.0,True
VER,1,6.0,80.011,21.37,37.325,21.316,HARD,6.0,True,1.0,4.0,,,182.0,181.0,254.0,265.0,True
VER,1,7.0,78.968,21.25,37.105,20.613,HARD,7.0,True,1.0,4.0,,,184.0,188.0,255.0,258.0,True
VER,1,8.0,77.714,20.467,36.796,20.451,HARD,8.0,True,1.0,4.0,,,195.0,191.0,256.0,263.0,True
VER,1,9.0,81.205,20.277,39.989,20.939,HARD,9.0,True,1.0,4.0,,,199.0,179.0,266.0,255.0,False
VER,1,10.0,79.169,20.44,38.145,20.584,HARD,10.0,True,1.0,4.0,,,195.0,184.0,266.0,263.0,False
VER,1,11.0,77.481,20.295,36.676,20.51,HARD,11.0,True,1.0,4.0,,,200.0,188.0,265.0,276.0,True
VER,1,12.0,78.128,20.612,37.001,20.515,HARD,12.0,True,1.0,4.0,,,179.0,188.0,257.0,265.0,False
VER,1,13.0,77.122,20.309,36.424,20.389,HARD,13.0,True,1.0,4.0,,,193.0,191.0,257.0,266.0,True
VER,1,14.0,76.81,20.267,36.267,20.276,HARD,14.0,True,1.0,4.0,,,203.0,184.0,256.0,272.0,True
VER,1,15.0,76.38,20.364,35.859,20.157,HARD,15.0,True,1.0,4.0,,,198.0,193.0,255.0,272.0,True
VER,1,16.0,75.392,19.731,35.563,20.098,HARD,16.0,True,1.0,4.0,,,205.0,193.0,256.0,275.0,True
VER,1,17.0,75.131,19.685,35.563,19.883,HARD,17.0,True,1.0,4.0,,,201.0,194.0,257.0,276.0,True
VER,1,18.0,75.035,19.671,35.457,19.907,HARD,18.0,True,1.0,4.0,,,202.0,196.0,257.0,277.0,True
VER,1,19.0,75.413,19.78,35.664,19.969,HARD,19.0,True,1.0,3.0,,,199.0,196.0,257.0,278.0,False
VER,1,20.0,75.233,19.782,35.584,19.867,HARD,20.0,True,1.0,2.0,,,202.0,195.0,257.0,278.0,False
VER,1,21.0,75.248,19.689,35.577,19.982,HARD,21.0,True,1.0,2.0,,,206.0,195.0,257.0,277.0,False
VER,1,22.0,75.291,19.708,35.68,19.903,HARD,22.0,True,1.0,1.0,,,204.0,195.0,257.0,278.0,False
VER,1,23.0,75.254,19.733,35.652,19.869,HARD,23.0,True,1.0,1.0,,,205.0,195.0,258.0,278.0,False
VER,1,24.0,75.181,19.692,35.626,19.863,HARD,24.0,True,1.0,1.0,,,206.0,194.0,258.0,279.0,False
VER,1,25.0,75.175,19.654,35.602,19.919,HARD,25.0,True,1.0,1.0,,,204.0,196.0,259.0,280.0,False
VER,1,26.0,76.288,20.045,36.058,20.185,HARD,26.0,True,1.0,1.0,,,204.0,191.0,257.0,281.0,False
VER,1,27.0,76.323,20.056,35.969,20.298,HARD,27.0,True,1.0,1.0,,,203.0,194.0,264.0,282.0,False
VER,1,28.0,92.651,19.666,35.884,37.101,HARD,28.0,True,1.0,4.0,5609.565,,207.0,193.0,,280.0,False
VER,1,29.0,78.571,22.4,36.001,20.17,MEDIUM,1.0,True,2.0,4.0,,5633.706,196.0,194.0,257.0,274.0,False
VER,1,30.0,75.074,19.719,35.517,19.838,MEDIUM,2.0,True,2.0,4.0,,,201.0,193.0,258.0,280.0,False
VER,1,31.0,75.133,19.737,35.377,20.019,MEDIUM,3.0,True,2.0,4.0,,,202.0,194.0,259.0,281.0,False
VER,1,32.0,75.424,19.687,35.603,20.134,MEDIUM,4.0,True,2.0,4.0,,,201.0,193.0,268.0,284.0,False
VER,1,33.0,76.213,20.137,35.965,20.111,MEDIUM,5.0,True,2.0,4.0,,,188.0,194.0,260.0,282.0,False
VER,1,34.0,75.8,19.875,35.765,20.16,MEDIUM,6.0,True,2.0,4.0,,,199.0,193.0,265.0,280.0,False
VER,1,35.0,75.33,19.747,35.817,19.766,MEDIUM,7.0,True,2.0,4.0,,,195.0,195.0,259.0,278.0,False
VER,1,36.0,74.976,19.598,35.487,19.891,MEDIUM,8.0,True,2.0,4.0,,,202.0,195.0,258.0,277.0,True
VER,1,37.0,75.025,19.696,35.48,19.849,MEDIUM,9.0,True,2.0,4.0,,,204.0,197.0,258.0,279.0,False
VER,1,38.0,74.677,19.623,35.174,19.88,MEDIUM,10.0,True,2.0,4.0,,,204.0,198.0,258.0,277.0,True
VER,1,39.0,74.785,19.649,35.315,19.821,MEDIUM,11.0,True,2.0,4.0,,,204.0,196.0,257.0,278.0,False
VER,1,40.0,74.421,19.394,35.181,19.846,MEDIUM,12.0,True,2.0,4.0,,,206.0,199.0,258.0,278.0,True
VER,1,41.0,74.39,19.417,35.304,19.669,MEDIUM,13.0,True,2.0,4.0,,,208.0,197.0,259.0,278.0,True
VER,1,42.0,74.456,19.417,35.224,19.815,MEDIUM,14.0,True,2.0,4.0,,,202.0,199.0,258.0,278.0,False
VER,1,43.0,74.567,19.481,35.255,19.831,MEDIUM,15.0,True,2.0,4.0,,,204.0,197.0,258.0,279.0,False
VER,1,44.0,74.38,19.606,35.103,19.671,MEDIUM,16.0,True,2.0,4.0,,,208.0,199.0,259.0,279.0,True
VER,1,45.0,74.23,19.363,35.111,19.756,MEDIUM,17.0,True,2.0,4.0,,,207.0,199.0,260.0,280.0,True
VER,1,46.0,74.897,19.768,35.294,19.835,MEDIUM,18.0,True,2.0,4.0,,,205.0,199.0,260.0,280.0,False
VER,1,47.0,74.859,19.698,35.394,19.767,MEDIUM,19.0,True,2.0,4.0,,,208.0,196.0,259.0,280.0,False
VER,1,48.0,74.538,19.396,35.389,19.753,MEDIUM,20.0,True,2.0,3.0,,,206.0,198.0,260.0,280.0,False
VER,1,49.0,74.261,19.233,35.294,19.734,MEDIUM,21.0,True,2.0,2.0,,,210.0,200.0,259.0,280.0,False
VER,1,50.0,74.426,19.4,35.341,19.685,MEDIUM,22.0,True,2.0,1.0,,,209.0,201.0,259.0,282.0,False
VER,1,51.0,75.165,19.475,35.782,19.908,MEDIUM,23.0,True,2.0,1.0,,,208.0,197.0,259.0,282.0,False
VER,1,52.0,76.328,19.804,36.13,20.394,MEDIUM,24.0,True,2.0,1.0,,,205.0,195.0,266.0,282.0,False
VER,1,53.0,77.547,19.853,37.06,20.634,MEDIUM,25.0,True,2.0,1.0,,,199.0,186.0,266.0,281.0,False
VER,1,54.0,75.872,19.944,36.007,19.921,MEDIUM,26.0,True,2.0,1.0,,,204.0,197.0,257.0,275.0,False
VER,1,55.0,75.62,19.683,36.003,19.934,MEDIUM,27.0,True,2.0,1.0,,,209.0,197.0,256.0,274.0,False
